"SourceAccount","DestinationAccount","Date","Time","TrackingId","Amount","Type","TransactionId"
"3000000271","7000000434","05/24/2018","6:42:05","661520","8,370,000","کارت به کارت","38791925753"
"3000000467","5000000355","4/4/2017","4:12:08","329383","5,460,000","کارت به کارت","37590832660"
"3000000176","4000000101","07/29/2019","15:44:41","816130","750,000","کارت به کارت","76449389403"
"3000000172","2000000373","05/21/2017","17:33:18","361451","850,000","کارت به کارت","56359213323"
"6000000056","7000000204","05/22/2017","13:11:23","831070","910,000","کارت به کارت","40793843872"
"3000000131","3000000157","12/7/2017","0:55:24","652831","4,790,000","پایا","98347876575"
"1000000493","9000000416","9/4/2019","3:47:35","556098","450,000","کارت به کارت","43042911915"
"5000000315","2000000455","12/21/2019","14:16:59","245106","194,130,000","پایا","94324772157"
"5000000115","9000000079","06/21/2017","20:28:50","877391","550,000","کارت به کارت","99674526391"
"4000000410","6000000395","11/20/2019","3:14:22","535673","230,000","کارت به کارت","98818923260"
"6000000480","1000000289","8/9/2019","5:16:49","210061","321,300,000","پایا","33610749361"
"2000000031","1000000426","04/29/2018","4:59:34","845071","16,430,000","کارت به کارت","87828078652"
"3000000195","1000000081","4/5/2019","10:29:10","722127","14,740,000","کارت به کارت","11081613229"
"3000000371","4000000291","04/20/2018","9:49:29","506882","1,429,960,000","ساتنا","29907290029"
"2000000436","9000000128","12/25/2018","16:50:32","461475","1,788,300,000","ساتنا","51889975719"
"1000000231","8000000399","5/5/2017","11:38:10","106872","941,630,000","ساتنا","51703869271"
"9000000431","3000000352","05/19/2019","17:43:10","470140","135,610,000","پایا","28851192623"
"1000000358","4000000250","4/8/2017","19:39:24","142066","936,560,000","ساتنا","44575101858"
"3000000122","6000000387","2/5/2018","13:12:09","542597","290,000","کارت به کارت","23361044672"
"1000000328","4000000410","1/7/2018","10:21:30","356345","21,980,000","کارت به کارت","52332079163"
"4000000252","3000000276","8/9/2019","22:13:22","676192","990,000","پایا","17747276303"
"3000000271","1000000080","05/17/2017","12:54:41","877301","120,000","کارت به کارت","62286427484"
"3000000037","9000000258","09/18/2019","9:59:30","568795","2,550,000","کارت به کارت","66025929657"
"6000000333","5000000046","04/29/2018","18:52:10","536131","1,910,000","پایا","69167372661"
"3000000206","5000000043","10/28/2019","14:52:52","127574","1,869,150,000","ساتنا","62748831357"
"4000000244","5000000338","06/13/2017","15:04:09","701964","137,450,000","پایا","23675724347"
"9000000221","8000000264","04/25/2017","17:18:03","597574","5,070,000","کارت به کارت","94756479707"
"2000000469","5000000005","11/17/2019","23:55:04","727054","10,000","کارت به کارت","66936899678"
"6000000059","2000000455","3/4/2019","2:58:18","369011","1,020,150,000","ساتنا","38155890356"
"9000000331","5000000321","09/23/2019","4:44:25","172014","25,070,000","کارت به کارت","56339444670"
"3000000288","8000000280","05/24/2019","19:01:47","497294","1,940,050,000","ساتنا","44665087495"
"1000000238","4000000101","3/12/2019","14:33:46","618090","1,034,460,000","ساتنا","40734621599"
"9000000422","1000000312","8/4/2017","9:57:59","670386","1,364,280,000","ساتنا","28818396035"
"2000000149","7000000297","11/20/2017","3:18:50","951728","850,000","پایا","58794856779"
"9000000052","4000000228","04/15/2017","11:30:26","414317","387,840,000","پایا","45490596837"
"2000000215","2000000366","01/23/2019","3:18:17","422815","8,370,000","کارت به کارت","27736318263"
"3000000370","6000000185","02/14/2017","12:56:41","494721","5,280,000","کارت به کارت","79255496852"
"5000000205","8000000257","12/4/2018","18:15:33","549246","300,000","کارت به کارت","25715775756"
"7000000021","2000000193","02/25/2019","16:02:20","243108","10,670,000","کارت به کارت","94914908104"
"3000000352","4000000251","11/11/2018","4:36:14","338285","512,150,000","ساتنا","73550541306"
"4000000430","4000000329","05/25/2018","7:39:15","905351","750,000","کارت به کارت","41646096864"
"9000000353","3000000131","09/26/2018","7:50:58","770607","23,490,000","کارت به کارت","83124045023"
"2000000307","9000000429","02/21/2018","10:28:23","112798","3,690,000","کارت به کارت","82928020141"
"2000000457","1000000171","11/15/2019","19:07:57","858349","123,970,000","پایا","10816048573"
"4000000329","4000000423","08/21/2018","8:15:57","620999","870,000","کارت به کارت","34820259615"
"8000000459","6000000318","01/25/2019","17:39:34","717251","330,520,000","پایا","31750514463"
"9000000448","6000000185","4/3/2018","7:24:59","465539","4,950,000","کارت به کارت","11067604194"
"8000000306","9000000014","06/13/2019","22:18:51","765379","7,040,000","کارت به کارت","77700070840"
"1000000016","2000000117","08/29/2017","5:04:49","229729","530,000","پایا","51365489492"
"2000000243","9000000118","3/6/2017","3:11:51","414126","10,870,000","پایا","23460958196"
"9000000463","3000000119","1/10/2019","16:17:39","202690","1,392,600,000","ساتنا","23710052677"
"4000000291","1000000310","05/26/2018","1:34:25","197143","5,930,000","پایا","51110671488"
"9000000138","4000000180","5/3/2017","19:49:56","697599","24,580,000","کارت به کارت","65462723664"
"1000000312","1000000336","12/17/2017","15:39:41","977442","8,530,000","پایا","53479448083"
"6000000488","7000000468","02/16/2019","21:14:36","956124","304,570,000","پایا","96074484394"
"8000000237","3000000288","07/18/2018","15:38:27","376500","3,590,000","کارت به کارت","59201208955"
"4000000091","2000000235","3/5/2018","20:23:51","637161","17,560,000","کارت به کارت","27652831644"
"8000000055","3000000119","8/2/2017","4:57:01","864724","250,000","کارت به کارت","97378324829"
"6000000036","4000000228","05/13/2019","19:04:24","166597","3,190,000","کارت به کارت","46503539459"
"5000000363","4000000178","10/17/2017","5:38:00","322748","2,570,000","کارت به کارت","33716817586"
"6000000318","4000000400","6/11/2017","13:15:57","673054","416,880,000","پایا","57342794670"
"2000000215","3000000089","9/11/2019","16:17:38","258388","2,670,000","پایا","69626271059"
"2000000194","2000000054","04/26/2018","11:29:36","383545","461,220,000","پایا","97358337095"
"9000000058","6000000219","1/7/2017","21:19:05","825591","16,470,000","پایا","86301262877"
"4000000035","3000000089","11/28/2017","7:44:15","297589","3,480,000","کارت به کارت","95102675881"
"7000000472","8000000279","07/27/2017","9:11:05","369263","8,110,000","کارت به کارت","67397116256"
"7000000007","4000000316","01/22/2017","17:45:54","829098","590,000","پایا","89953821641"
"9000000487","1000000317","3/1/2018","11:23:06","971121","1,280,000","کارت به کارت","89559758081"
"4000000428","3000000050","01/15/2017","18:13:09","419388","160,000","پایا","31985363316"
"9000000232","7000000168","3/7/2017","15:10:20","406638","12,630,000","کارت به کارت","31761746071"
"2000000466","8000000032","7/2/2019","9:14:09","772252","950,000","کارت به کارت","33389117459"
"1000000314","1000000254","02/15/2019","2:08:46","529148","18,780,000","کارت به کارت","19628361366"
"2000000120","8000000496","09/28/2018","9:05:42","651319","360,000","کارت به کارت","53617664482"
"6000000453","2000000215","7/10/2019","22:11:24","656104","340,000","کارت به کارت","25238318428"
"1000000267","9000000263","9/6/2018","15:52:30","934642","9,890,000","کارت به کارت","72801413515"
"3000000131","1000000003","6/3/2019","2:29:28","101268","470,000","کارت به کارت","70284222757"
"9000000182","2000000366","10/21/2019","13:26:57","466608","1,987,520,000","ساتنا","58100091064"
"7000000069","2000000364","05/29/2018","21:40:09","543385","1,027,370,000","ساتنا","33957637629"
"3000000049","8000000143","2/7/2018","22:28:03","917149","820,000","کارت به کارت","97499377830"
"1000000261","7000000204","2/7/2018","16:59:32","565400","710,000","کارت به کارت","43539276408"
"4000000252","8000000143","11/17/2017","6:50:41","623705","80,000","کارت به کارت","16804755965"
"7000000133","2000000433","8/6/2019","11:21:44","799381","1,480,000","پایا","95609729121"
"3000000172","8000000093","12/3/2019","2:30:30","572812","550,000","کارت به کارت","58472154742"
"5000000342","5000000096","12/2/2018","18:21:43","897313","6,260,000","پایا","20269737794"
"9000000221","1000000130","03/21/2017","15:24:20","960993","48,950,000","پایا","57311147155"
